ticker,article_count,date_first,date_last,sample_headline,ambiguity_note
NXPI,23,2018-03-28,2018-12-03,NXP Semiconductors sells China JV stake as Qualcomm takeover awaits Beijing nod,
LLY,23,2018-04-24,2020-06-01,"Express Scripts targets Amgen, Lilly migraine drugs in pricing shift",
PYPL,23,2018-04-25,2020-06-11,Barclays and Paypal announce tie-up as banks mull big tech threat,
HD,23,2018-03-26,2020-05-19,"Home improvement chain Lowe's CEO to retire, shares rise",
DELL,22,2018-07-02,2020-07-15,"Dell moves to go public, spurns IPO",
WYNN,22,2018-03-22,2020-04-19,"Steve Wynn cuts stake in Wynn Resorts, becomes No. 3 holder",
KMI,22,2018-04-08,2020-04-22,Kinder Morgan halts most work on disputed Canada pipeline expansion,
WAT,20,2018-05-14,2020-05-20,Wall St. ekes out gains as trade optimism pressured by defensive stocks,
DE,20,2018-03-21,2020-05-22,"Deere & Co fears hit from Trump tariffs, retaliation: CEO",
POOL,20,2018-04-12,2020-06-09,Audi brand to be excluded from VW sportscar brand overhaul: source,
ABBV,19,2018-06-29,2020-02-18,"AbbVie, AndroGel partner owe $448 million in antitrust case: U.S. judge",
MCO,19,2018-03-28,2020-07-10,"Tesla shares dive again, stung by fatal crash, credit downgrade",
WBA,19,2018-03-28,2020-07-16,Walgreens retail sales decline overshadows pharmacy business strength,
AMGN,18,2018-04-24,2020-04-30,"Express Scripts targets Amgen, Lilly migraine drugs in pricing shift",
HON,18,2018-07-23,2020-06-15,Honeywell eyes supplier shift to avoid tariff hit,
BBY,18,2018-03-22,2020-05-21,Best Buy cuts ties with China's Huawei: source,
COF,18,2018-07-26,2020-04-04,Walmart chooses Capital One Financial for credit card program,
LIN,17,2018-06-13,2019-11-18,Linde-Praxair deal gets Brazil antitrust nod,
MAR,17,2018-04-03,2020-06-05,Marriott aims to cut commissions for online agencies: CEO,
UNH,17,2018-04-17,2020-04-15,"Wall Street rises on earnings hopes, Netflix soars",
PM,16,2018-05-31,2020-06-28,Japan Tobacco to cut heated tobacco prices in battle with Philip Morris,
CRM,15,2018-03-20,2020-06-23,Salesforce to buy MuleSoft for $5.9 billion,
CSCO,15,2018-05-16,2020-06-30,"Cisco's tepid forecast clouds quarterly beat, shares fall",
COST,14,2018-04-20,2020-05-28,U.S. questions COSCO's takeover of California cargo terminal: WSJ,
HAL,14,2018-04-23,2020-05-26,Halliburton revenue jumps on higher North American demand,
NEM,14,2019-01-14,2019-04-11,Newmont takes top gold producer spot with $10 billion Goldcorp buy,
MSCI,14,2018-03-20,2020-06-25,Index provider MSCI says it is reviewing Facebook data privacy issue,
MDLZ,14,2018-07-25,2020-03-23,"Mondelez profit tops on higher confectionary sales, cost controls",
YUM,13,2018-08-02,2020-06-11,"Yum Brands comparable sales miss as Pizza Hut, Taco Bell disappoint",
SPGI,13,2018-03-26,2020-06-11,Exclusive: S&P Global cuts top sovereign analysts as part of broader cull,
STZ,13,2018-03-29,2020-04-08,Constellation Brands results beat on higher demand for Mexican beers,
MO,13,2018-11-28,2020-07-14,Altria in talks to take minority stake in Juul: sources,
HAS,12,2018-04-23,2020-02-13,Hasbro blames Toys 'R' Us for poor first quarter,
BIIB,12,2018-04-20,2020-02-14,Biogen boosts investment in neurology with $1 billion Ionis deal,
BKR,12,2018-06-26,2020-04-22,GE breakup leaves it with best and worst performers,
DLTR,12,2018-08-30,2020-05-28,Dollar Tree misses comparable sales estimates on Family Dollar weakness,
ADM,12,2018-03-28,2020-01-30,German tax office examining ADM over legacy trading earnings,
MRNA,11,2020-03-30,2020-07-17,"J&J, Moderna sign deals with U.S. to produce huge quantity of possible coronavirus vaccines",
SLB,11,2018-04-16,2020-05-21,Schlumberger fights to boost patent damages at U.S. Supreme Court,
TXN,11,2018-07-18,2020-04-21,Texas Instruments CEO resigns on code of conduct violation,
ADBE,11,2018-06-14,2019-10-23,Adobe tops estimates on digital media business momentum,
GD,10,2018-03-20,2019-11-08,General Dynamics raises bid for sector peer CSRA to fend off CACI,
PSX,10,2018-04-27,2020-07-06,Refiner Phillips 66 profit beats as chemicals unit outperforms,
CZR,10,2019-02-14,2020-06-24,Icahn to lobby Caesars Entertainment management for sale: WSJ,
MU,10,2018-06-05,2020-05-27,"China launches DRAM chip price probe into Samsung Elec, SK Hynix and Micron",
NWSA,10,2018-05-10,2020-05-08,News Corp revenue beats as digital push pays off,
AMD,10,2018-07-25,2020-02-14,"AMD second-quarter revenue, profit boosted by EPYC, Ryzen sales",
BALL,10,2018-04-04,2019-12-05,White House adviser says expects China to 'play ball' on trade,
MGM,10,2018-07-31,2020-02-14,MGM Resorts signs sports betting agreement with NBA,
EFX,10,2018-03-28,2019-07-23,Equifax names former GE executive Mark Begor as CEO,
HLT,9,2018-04-05,2020-06-16,China's HNA to sell some or all of $6.3 billion Hilton stake,
MET,9,2018-04-26,2019-12-18,"MetLife trims compensation for CEO, CFO in year marked by errors",
ABT,9,2018-04-18,2020-05-15,"Abbott sticks to earlier forecasts, disappoints investors",
SCHW,9,2019-07-15,2020-03-13,"Charles Schwab in talks to buy USAA wealth-management, brokerage units: WSJ",
BK,9,2018-09-19,2020-03-30,"KPMG admits misconduct on BNY Mellon reports, says watchdog",
BG,9,2018-04-27,2019-09-09,"From Volkswagen to Bunge, concession holders in Brazil face hefty bill",
NOC,9,2018-06-05,2019-12-13,Northrop Grumman wins U.S. antitrust approval to buy Orbital ATK,
EQT,8,2018-12-16,2020-03-16,EQT's board to seek talks with Rice brothers: sources,
ICE,8,2018-03-30,2020-03-18,NYSE in talks to acquire Chicago Stock Exchange: Wall Street Journal,
EA,8,2018-07-26,2020-05-05,Game publisher EA's revenue forecast misses estimates,
RL,8,2019-02-05,2020-05-27,"Ralph Lauren steps up Instagram game, tops holiday sales forecasts",
CCL,8,2019-05-31,2020-06-25,Cruise line Carnival seeks dismissal of U.S. lawsuits over Cuba docks,
ACN,8,2018-03-22,2020-06-25,Accenture trims profit margin forecast as spending grows; stock dives,
UNP,7,2018-10-23,2020-01-23,Union Pacific to cut 475 jobs in first wave of planned reductions,
CL,7,2018-04-27,2020-06-19,Colgate's sales disappoint on tepid Latin America demand,
LULU,7,2018-04-16,2020-03-26,Athletic apparel maker Lululemon names Patrick Guido CFO,
STT,7,2018-06-04,2019-06-27,Former State Street executive faces U.S. fraud trial,
CHTR,7,2018-04-20,2019-11-04,"Comcast, Charter partner for mobile services back-end software",
MTCH,7,2019-01-16,2020-05-05,"IAC sues Tinder co-founder, escalating fight over valuation",
HPE,6,2018-07-09,2020-05-21,"HPE could mitigate impact of future U.S. tariffs, CEO says",
DHI,6,2018-11-08,2019-11-12,"D.R. Horton forecasts weak home sales, shares fall 10 percent",
DG,6,2018-11-11,2020-05-28,"Dollar Tree stock is a bargain, down 18 percent this year: Barron's",
GIS,6,2018-03-21,2019-06-26,"General Mills cuts profit forecast as freight, commodity costs weigh",
HSY,6,2018-07-03,2020-05-27,"Nestle, Hershey at odds with farmers over U.S. GMO labeling",
ALB,5,2018-12-06,2020-02-10,Exclusive: Albemarle pushes Chile to reverse lithium quota decision - filings,
CSX,5,2018-07-17,2020-04-22,"CSX profit tops Wall St target on cost cuts, pricing power",
MPC,5,2018-04-30,2020-04-22,Marathon to become top U.S. refiner with $23 billion Andeavor buy,
EMR,5,2019-03-08,2020-02-13,"As trade wars rage, Emerson plots new U.S. expansion",
TROW,5,2018-10-10,2020-02-14,T. Rowe Price raises bet on Tesla in vote of confidence for Musk,
RCL,5,2020-02-13,2020-04-15,"Royal Caribbean cancels 18 cruises, warns coronavirus hit to yearly profit",
REGN,5,2019-01-07,2020-07-07,U.S. top court rejects Amgen over cholesterol medication patent fight,
PRU,5,2018-04-11,2020-03-05,U.S. companies found ways to avoid taxes before tax bill: report,
CBOE,5,2018-07-03,2020-03-09,"Amsterdam adds to exchange Brexit spoils with Cboe, LSE wins",
EXPE,5,2018-04-03,2020-07-10,Marriott aims to cut commissions for online agencies: CEO,
TXT,4,2019-04-17,2020-03-18,Textron sees final certification of Longitude jet in second quarter,
DHR,4,2018-07-19,2020-07-06,Danaher sees one cent per quarter impact from U.S.-China tariffs,
PGR,4,2019-02-15,2020-06-02,"As Amazon drops New York City project, progressives claim a major coup",
LVS,4,2019-06-24,2020-05-13,Eldorado Resorts takes on bigger rivals with $8.5 billion Caesars buy,
SRE,4,2018-08-06,2019-10-14,Sempra Energy CEO 'very optimistic' about talks with Elliott Management,
SPG,3,2020-02-19,2020-06-10,"Forever 21 snapped up by mall owners, Authentic Brands",
PLTR,3,2020-06-11,2020-07-06,Palantir close to registering for stock market debut: sources,
PNC,3,2018-11-14,2020-01-15,"Berkshire invests in JPMorgan, Oracle as Buffett puts cash to work",
CME,3,2018-03-28,2020-03-08,CME Group in advanced talks to buy Britain's NEX for $5.4 billion,
CNC,3,2019-03-27,2019-10-22,U.S. Health insurer Centene to buy smaller rival WellCare for $15.3 billion,
D,3,2018-05-24,2020-07-05,"General Electric's power unit fights for growth as wind, solar gain",
CMI,3,2018-07-31,2019-12-19,"Cummins to recall 500,000 U.S. trucks over faulty emissions part",
PPG,3,2018-10-25,2019-09-17,"Trian calls for PPG Industries CEO ouster, wants to split company",
PLD,3,2018-04-29,2019-10-27,Logistics leader Prologis to acquire DCT Industrial for $8.4 billion,
FI,3,2019-07-29,2020-05-19,Bank of America ends joint venture with Fiserv's First Data,
GPN,3,2018-07-10,2020-05-11,SEC charges ex-Heartland Payment CEO with insider trading,
PFG,3,2019-03-17,2020-01-24,Principal Financial close to Wells Fargo retirement unit acquisition-sources,
NTRS,3,2019-04-09,2020-05-20,"U.S. bank executives say Wall Street has reformed, though crisis scars linger",
FCX,3,2019-02-25,2020-01-28,Freeport investing to mitigate risk from tailings dams: CEO,
MCK,3,2018-04-23,2020-03-10,Glenview's Robbins says talk of Amazon's entering pharma is overblown,
VLO,3,2018-09-10,2020-04-07,Fuel shippers ask FERC to expedite hearing on Colonial Pipeline rates,
JNPR,3,2019-07-29,2020-06-10,Trade jitters running high at U.S. companies ahead of new U.S.-China talks,
TPR,3,2018-08-14,2019-11-05,"Kate Spade sales drive strong Tapestry forecast, shares jump",
AXON,3,2019-10-03,2020-01-03,"Axon boosts encryption, weighs blockchain to tackle body-cam 'deepfakes'",
AMT,2,2018-08-09,2020-03-16,"American Tower feud 'not positive' for Mexico's TV Azteca, Fitch says",
AON,2,2020-03-09,2020-03-10,Aon buys Willis for $30 billion in world's largest insurance deal,
CAG,2,2018-03-22,2018-06-27,"Conagra mitigates inflation hit with fewer discounts, cost control",
APTV,2,2018-08-21,2019-09-23,"Lyft surpasses 5,000 self-driving rides with Aptiv fleet",
BKNG,2,2019-11-08,2020-04-01,U.S. Supreme Court to consider blocking Booking.com trademark,
HES,2,2018-06-19,2020-02-04,"U.S. oil pipeline companies, producers seek relief from steel tariffs",
DOV,2,2018-10-22,2019-01-07,"Exclusive: Aston Martin considers flying in components, changing ports to handle Brexit",
IVZ,2,2018-07-09,2019-08-16,"Third of sovereign funds plan to cut equity holdings, cite trade war fear",
IFF,2,2018-10-24,2019-12-16,Exclusive: Billionaire family behind Tetra Pak revealed as mystery IFF shareholder,
HUM,2,2018-03-30,2018-03-31,Walmart talking with Humana on closer ties; acquisition possible: sources,
ON,2,2018-11-13,2019-07-08,China says U.S. controls on semiconductor firm break WTO rules,
GLW,2,2019-05-16,2020-06-09,Corning says it expects no impact from U.S. ban sales to Huawei,
NUE,2,2018-11-13,2019-01-07,Trump's steel tariffs create big profits but few new jobs,
MNST,2,2018-11-08,2019-07-01,Coca-Cola proposes energy drinks in clash with Monster Beverage,
MDT,2,2019-02-19,2020-03-21,Medtronic quarterly profit beats on strength in surgical products,
MKC,2,2018-06-05,2019-06-03,Tronc's top shareholder terminates sale of stake to McCormick Media,
LEN,2,2019-01-09,2019-01-09,Lennar sees improvement in buyer traffic in first quarter,
KMB,2,2018-07-19,2020-04-22,Kimberly-Clark weighs sale of European tissues business: sources,
FIS,2,2019-03-18,2019-07-01,Shares in European payments companies rise on Worldpay takeover,
FITB,2,2018-05-21,2020-03-10,Fifth Third Bancorp pays $4.7 billion for MB Financial's Chicago muscle,
GDDY,2,2019-05-02,2019-11-07,GoDaddy quarterly profit falls short of estimates as costs still weigh,
ADP,2,2018-04-18,2019-08-05,Ackman says he supports ADP but puts management on notice,
SJM,2,2018-04-04,2019-08-27,J.M. Smucker to buy Ainsworth Pet Nutrition for $1.9 billion,
CB,2,2018-09-24,2019-03-11,United Technologies explores sale of Chubb Fire & Security: sources,
CTSH,2,2018-03-27,2018-04-03,India tax department freezes certain Cognizant bank accounts: report,
CTVA,2,2019-10-31,2020-03-04,"Corteva signals hit from delayed planting in Brazil, slowing China",
EXC,2,2018-09-20,2018-09-21,GE says four HA turbines in U.S. shut down due to blade problem,
ETN,2,2019-10-16,2020-02-06,Signify to buy U.S. firm Cooper Lighting for $1.4 billion,
FE,2,2018-03-29,2020-02-10,"FirstEnergy seeks emergency lifeline for U.S. nuclear, coal plants",
ED,2,2019-03-15,2019-03-15,Con Edison faces potential fine over breaches of safety rules,
EOG,2,2019-09-12,2020-03-16,"Low-cost fracking offers boon to oil producers, headaches for suppliers",
GRMN,2,2018-09-12,2020-01-10,"Fitbit falls, Garmin shed gains on new Apple watch",
AMAT,1,2019-07-01,2019-07-01,Applied Materials to buy Japan's Kokusai to bolster memory chip business,
BF-B,1,2018-06-06,2018-06-06,Brown-Forman upped Jack Daniel's shipments as trade war loomed,
KDP,1,2019-06-20,2019-06-20,"Apple, Keurig Dr Pepper, Dollar Tree, Fitbit press U.S. to drop China tariff plan",
VTR,1,2020-03-17,2020-03-17,Ventas sees slowdown in move-ins to senior centers amid coronavirus pandemic,
VST,1,2018-05-24,2018-05-24,"General Electric's power unit fights for growth as wind, solar gain",
TTWO,1,2019-08-05,2019-08-05,"'NBA 2K', 'Grand Theft Auto V' help Take-Two surge past estimates",
TRV,1,2018-11-14,2018-11-14,"Berkshire invests in JPMorgan, Oracle as Buffett puts cash to work",
TMO,1,2020-03-03,2020-03-03,Thermo Fisher agrees to buy genetic tester Qiagen in $11.5 billion deal,
TJX,1,2020-04-07,2020-04-07,"TJX to furlough most of about 286,000 staff as stores stay shut amid pandemic",
TFX,1,2019-01-16,2019-01-16,"PG&E to get pulled out of S&P 500, shares near 2001 lows",
SYF,1,2018-07-26,2018-07-26,Walmart chooses Capital One Financial for credit card program,
CAH,1,2019-08-06,2019-08-06,U.S. Drug distributors propose $10 billion to end state lawsuits over opioids: Bloomberg,
ANET,1,2018-08-06,2018-08-06,Arista to pay $400 million to Cisco to resolve court fight,
NRG,1,2019-01-28,2019-01-28,Ex-NRG CEO David Crane to exercise voting rights for VTB's stake in EN+: source,
ORLY,1,2019-07-29,2019-07-29,Trade jitters running high at U.S. companies ahead of new U.S.-China talks,
NEE,1,2019-05-03,2019-05-03,PG&E unable to strike deal over renewable power contracts: court documents,
LYV,1,2019-12-14,2019-12-14,U.S. Justice Department preparing legal action against Live Nation: source,
LRCX,1,2018-10-09,2018-10-09,Qualcomm adds two new members to its board,
DVA,1,2018-10-01,2018-10-01,DaVita unit to pay $270 million to resolve Medicare payments probe,
DUK,1,2018-04-11,2018-04-11,U.S. companies found ways to avoid taxes before tax bill: report,
JCI,1,2018-11-13,2018-11-13,Johnson Controls sells its power business to Brookfield in $13 billion deal,
IT,1,2019-05-28,2019-05-28,Huawei holds on to No. 2 smartphone spot in first quarter: report,
IP,1,2018-03-26,2018-03-26,Smurfit Kappa rejects raised bid from International Paper,
IR,1,2019-04-28,2019-04-28,Gardner Denver to merge with Ingersoll-Rand division: WSJ,
HRL,1,2020-02-18,2020-02-18,"Hormel joins Tyson Foods, JBS in removing drug banned by China from hog supply",
INTU,1,2020-02-23,2020-02-23,TurboTax maker Intuit nears agreement to buy Credit Karma for $7 billion: WSJ,
HCA,1,2018-05-04,2018-05-04,Hospital operator HCA spends big to keep nurses on board,
HII,1,2018-12-26,2018-12-26,General Dynamics among those winning Pentagon contracts,
LOW,1,2018-11-05,2018-11-05,Lowe's shuts 51 stores in U.S. and Canada,
NCLH,1,2020-04-17,2020-04-17,Exclusive: Norwegian Cruise taps Goldman Sachs to explore stake sale - sources,
NSC,1,2018-12-12,2018-12-12,Norfolk Southern moves headquarters to Atlanta,
FANG,1,2019-07-30,2019-07-30,Texas shale pioneers struggle to appease investors,
FDS,1,2019-07-08,2019-07-08,Deutsche Bank overhaul to hit FactSet profit: Credit Suisse,
DVN,1,2018-07-31,2018-07-31,"Devon Energy misses profit estimates as costs, oil hedges weigh",
DGX,1,2020-06-11,2020-06-11,Delta rolling out COVID-19 testing for all employees,
FMC,1,2019-02-20,2019-02-20,FMC expects NxStage deal to close in next couple of days,
QRVO,1,2019-05-21,2019-05-21,Qorvo stops chip shipments to Huawei,
PHM,1,2019-04-25,2019-04-25,"Corporate profits and U.S. economy chug along, defying recession fears",
RJF,1,2019-11-06,2019-11-06,"Bank of America, Raymond James to pay $12 million for college fund overcharges",
ROST,1,2020-03-26,2020-03-26,"Exclusive: Ross Stores, other retailers cancel vendor orders following coronavirus hit",
SHW,1,2018-06-26,2018-06-26,"U.S. charges S&P analyst, 2 others with insider trading in paint merger",
PSA,1,2020-02-27,2020-02-27,Public Storage only bidder left for National Storage with $1.25 billion bid,
ALL,1,2020-04-06,2020-04-06,Allstate to return $600 million in auto premiums as coronavirus cuts driving,
ALGN,1,2020-01-14,2020-01-14,SmileDirectClub jumps on plans to start selling aligners to dentists,
AJG,1,2019-01-18,2019-01-18,A.J. Gallagher’s 'clean coal' business draws ire of green investors,
WDC,1,2019-10-30,2019-10-30,"Western Digital announces CEO succession plan, signals lean second-quarter",
AFL,1,2018-12-13,2018-12-13,Japan Post to invest $2.6 billion in U.S. insurer Aflac: source,
ADSK,1,2018-05-03,2018-05-03,GM bets on 3D printers for cheaper and lighter car parts,
ADI,1,2020-07-13,2020-07-13,Chipmaker Analog Devices to buy rival Maxim for about $21 billion,
ZTS,1,2019-09-19,2019-09-19,Factbox: Animal health sector aims to emulate Zoetis biotech leap,
